skill;occurence
Bouchardage de verre;1
Techniques de traitement des verres;2
Procédés de craquelure;1
Techniques d'émaillage;2
Grisaille, cémentation sur verre;1
Gravure sur verre à la meule, à la roue;1
Gravure au stylet;1
Métallisation, dorure, argenture de verre;1
Peinture sur verre;1
Polissage, dépolissage de verre;1
Techniques de sablage de verre;1
Techniques de taille du verre;1
Caractéristiques des matières;5
Caractéristiques des oxydes;1
Gravure à l'acide;1
Techniques de sertissage;9
Techniques de référencement du vitrail;1
Procédé de vitrail au plomb;1
Procédé Tiffany;1
Procédés d'étanchéité;8
Électricité haute tension;3
Histoire de l'art du verre;1
Procédures d'entretien d'outillages et d'équipements de transformation du verre;1
Procédures de maintenance d'outillages et d'équipements de transformation du verre;1
Calcul de titrage et d'alliage;1
Utilisation d'une binoculaire;3
Caractéristiques des alliages de métaux précieux;1
Gemmologie;2
Procédures d'entretien de bijoux;1
Matières d'origine animale;1
Types de maille en bijouterie;2
Menuiserie aluminium;17
Menuiserie bois;17
Techniques de coulage;3
Techniques de forgeage;2
Techniques de laminage;2
Étirage des métaux;1
Repoussage;1
Enfilage de perles;1
Clippage de bijoux;1
Techniques de soudure à l'étain;1
Techniques de soudure au laser;1
Perçage de perles;1
Techniques d'argenture;1
Dorure par électrolyse;1
Techniques de brunissage;1
Utilisation de polisseuse mécanique;1
Utilisation de machines à dorer/à brunir;1
Glyptique;1
Techniques de taille de pierre précieuse;1
Techniques de taille de diamant;1
Caractéristiques des mécanismes horlogers;2
Procédures d'entretien d'un mouvement horloger;1
Cinématique;1
Micromécanique;2
Mouvements horlogers mécaniques;1
Mouvements horlogers électroniques;1
Posage et emboitage en horlogerie;1
Méthodes de classement et de montage de pièces micromécaniques;1
Techniques d'ajustage;2
Utilisation d'appareils de contrôle (vibrographe, contrôleur électronique, ...);1
Utilisation d'appareil optique;3
Achevage et réglage;1
Qualité, Hygiène, Sécurité et Environnement (QHSE);43
Habillage de pièces d'horlogerie;2
Caractéristiques des alliages de métaux;3
Utilisation de fours, d'étuves;4
Histoire de l'horlogerie;1
Techniques de dépouillement d'un animal;2
Techniques d'équarrissage;1
Techniques de dépeçage;1
Éviscération animale;3
Techniques de décharnage;1
Traitement des peaux et cuirs;1
Postures animales;1
Techniques de picklage;1
Techniques de tannage;2
Procédures de décontamination;5
Techniques de taxidermie souple;1
Techniques de dessiccation;1
Espèces animales contemporaines;1
Paléontologie;2
Anatomie humaine;7
Méthode de classement et d'archivage;13
Logiciels de traitement d'images;3
Prise de mesures;14
Procédures d'essayage;4
Techniques d'élaboration de maquette;3
Techniques de coupe de textile, cuir;8
Techniques de gradation;5
Caractéristiques morphologiques de la tête;1
Montage et assemblage en chapellerie;2
Histoire du chapeau;1
Histoire de la mode et des costumes;2
Techniques de patronnage;7
Caractéristiques des tissus et matières textiles;18
Utilisation de marotte;1
Techniques de travail à la pédale;1
Utilisation de conformateur;1
